# Acronim,Significat
AV, associació de veïns
BATX, Batxillerat
BCN, Barcelona
BOE, boe
CA, comunitat autònoma
CAP, cap
CAT, Catalunya
CCCB, ccb
CCOO, Comissions Obreres
CD, cd
CD-ROM, cd-rom
CEO, ceo
CCRTV, Corporació Catalana de Ràdio i Televisió
CGPJ, Consell General del Poder Judicial
CP, codi postal
CPU, cpu
CTTI, ctti
CUP, cup
DGT, dgt
DL, decret llei
DLEG, decret legislatiu
DNI, denei
DOGC,Diari Oficial de la Generalitat de Catalunya
DOPC, Diari Oficial del Parlament de Catalunya
DVD, devede
EPI, epi
ERC,Esquerra Republicana
ESO, eso
EUA, Estats Units d’Amèrica
FCB, Futbol Club Barcelona
FP, fp
GPS, gps
HPO, habitatge de protecció oficial
HTML, html
IA, ia
ICAC, Institut Català d'Arqueologia Clàssica
ICAT, icat
ICFO, Institut de Ciències Fotòniques
ICR, Institut Català de Retina
ICRA, Institut Català de Recerca de l'Aigua
ICREA, Institució Catalana de Recerca i Estudis Avançats
ICS, Institut Català de la Salut
IDIBAPS, Institut d'Investigacions Biomèdiques August Pi i Sunyer
IEC, Institut d’Estudis Catalans
IPC, ipc
IRB, Institut de Recerca Biomèdica
IRPF, irpf
IRTA, Institut de Recerca i Tecnologia Agroalimentàries
ISO, iso
IVA, iva
LGBTI, lgtbi
LO, llei orgànica
MACBA, macba
MNAC, mnac
NIF, nif
OC, Òmnium Cultural
OCB, ocb
OMS, oms
ONG, ong
ONU, onu
OTAN, otan
PAF, paf
PAU, pau
PDECAT, pdecat
PDF, pdf
PIB, pib
PIMEC, pimec
PPCC, Països Catalans
PSOE, Partit Socialista Obrer Espanyol
R+D+I, recerca, desenvolupament i innovació
R+D, recerca i desenvolupament
RAM, ram
RD,reial decret
RDLEG, reial decret legislatiu
RDL, reial decret llei
RENFE, renfe
ROM, rom
RSUP, responeu, si us plau
RSVP, responeu, si us plau
SEAT, seat
SOS, sos
SS, Seguretat Social
SSTT, serveis territorials
TIC, tic
TV, televisió
TV3, tv3
UAB, Universitat Autònoma de Barcelona
UB, Universitat de Barcelona
UCI, uci
UE, ue
UGT, ugt
UNESCO, unesco
UOC, Universitat Oberta de Catalunya
UPC, upc
URL, url
VIP, vip
WWW, www
XML, xml
ZIP, zip
